generation,best_fitness,avg_fitness
0,546.125,476.3359375
1,627.8125,487.40078125
2,627.5,503.20625
3,628.0625,520.4359375
4,640.3125,547.23046875
5,638.5,575.2140625
6,641.5625,601.759375
7,647.0625,620.765625
8,652.375,624.59140625
9,654.125,623.95078125
10,663.125,635.84609375
11,667.8125,639.1828125
12,667.375,633.16484375
13,670.125,630.56953125
14,671.0625,635.56875
15,671.375,649.62421875
16,672.375,646.75625
17,674.375,654.3515625
18,675.8125,661.24609375
19,678.25,666.36796875
20,677.6875,668.82890625
21,679.3125,670.34609375
22,682.0625,671.125
23,687.6875,673.3890625
24,694.6875,672.1109375
25,707.25,679.1046875
26,708.75,682.415625
27,710.3125,687.8890625
28,711.3125,693.296875
29,713.25,702.22421875
30,714.1875,705.3921875
31,724.125,705.81796875
32,722.5,707.86171875
33,730.0,709.8078125
34,728.5,710.73515625
35,727.75,712.20390625
36,733.625,717.90625
37,733.5,717.62421875
38,734.625,721.86328125
39,734.4375,725.03046875
40,734.6875,727.11171875
41,736.0,727.71796875
42,735.6875,730.04921875
43,736.1875,729.8171875
44,736.8125,728.03515625
45,738.0,731.0125
46,739.5625,731.728125
47,741.0625,733.0921875
48,740.8125,733.09140625
49,740.5625,734.42734375
50,740.75,734.76171875
51,740.75,733.44609375
52,742.8125,735.16328125
53,740.8125,732.025
54,741.6875,733.83203125
55,741.75,733.66484375
56,740.875,734.153125
57,740.4375,734.86484375
58,740.6875,736.18984375
59,741.375,735.30234375
60,741.1875,735.79609375
61,741.0625,734.634375
62,741.0625,734.56015625
63,742.1875,735.13671875
64,743.1875,734.6203125
65,740.8125,733.83359375
66,740.9375,733.17734375
67,742.0,732.25703125
68,741.0,734.43671875
69,743.75,733.0828125
70,742.4375,733.1265625
71,740.5625,734.4046875
72,742.375,730.84765625
73,740.4375,731.98359375
74,741.375,734.459375
75,743.375,736.64453125
76,741.5625,734.16796875
77,740.8125,733.4078125
78,742.5625,736.84296875
79,741.375,733.57421875
80,743.1875,734.61015625
81,743.625,737.61484375
82,742.875,737.1390625
83,743.125,735.7359375
84,742.125,736.4046875
85,742.9375,738.071875
86,743.3125,736.6171875
87,744.3125,735.49921875
88,743.3125,736.26015625
89,743.125,736.50546875
90,741.875,738.2
91,743.625,737.80625
92,742.25,735.6078125
93,744.0,736.940625
94,743.6875,735.3703125
95,742.8125,736.82578125
96,742.75,736.834375
97,742.4375,736.8359375
98,744.0,736.21953125
99,742.4375,733.8609375
100,743.375,737.671875
101,743.9375,737.23125
102,743.0625,737.79140625
103,744.125,738.8390625
104,743.625,737.53671875
105,743.0,733.7
106,743.4375,732.89296875
107,743.8125,736.6171875
108,743.0,736.10703125
109,743.375,737.9015625
110,744.25,738.5671875
111,744.4375,737.43203125
112,745.5625,735.9296875
113,743.9375,738.0828125
114,745.125,735.7140625
115,746.5625,739.465625
116,745.9375,738.75703125
117,747.75,740.64296875
118,748.125,740.21953125
119,748.5625,740.85625
120,748.875,739.07734375
121,750.125,741.25078125
122,749.5,744.378125
123,748.3125,742.91171875
124,750.125,743.77578125
125,750.3125,743.48125
126,749.75,739.7859375
127,749.4375,741.4578125
128,749.875,742.384375
129,749.6875,744.26875
130,749.5,744.27109375
131,750.1875,742.40625
132,751.125,742.828125
133,748.8125,742.76875
134,750.5625,742.9
135,749.875,744.13984375
136,750.1875,744.87109375
137,748.8125,742.13125
138,751.125,743.81015625
139,749.3125,742.15859375
140,750.25,744.43125
141,749.375,742.04296875
142,750.5625,745.06328125
143,749.5,742.95234375
144,749.8125,744.37421875
145,749.6875,743.009375
146,749.5625,744.8390625
147,749.5,742.34140625
148,750.1875,744.109375
149,751.875,740.93984375
150,750.125,744.44140625
151,750.1875,741.90625
152,750.6875,743.0390625
153,749.75,744.42890625
154,751.4375,739.93828125
155,749.75,743.334375
156,750.1875,743.98515625
157,749.6875,742.8046875
158,749.8125,744.82578125
159,750.9375,743.0703125
160,751.25,744.20625
161,749.875,744.3640625
162,750.6875,744.4109375
163,750.25,742.0125
164,749.4375,744.46484375
165,751.4375,742.86328125
166,750.4375,741.5171875
167,751.4375,743.8171875
168,752.0625,743.7609375
169,750.5625,741.85078125
170,749.75,743.4140625
171,752.25,744.54609375
172,750.0,743.59609375
173,749.1875,741.76875
174,749.1875,742.83828125
175,749.9375,745.36875
176,750.9375,745.84609375
177,750.3125,744.13203125
178,749.375,743.09921875
179,751.3125,743.65546875
180,749.5,743.7484375
181,751.0,745.0984375
182,749.75,743.9671875
183,750.5,743.265625
184,750.0,744.65546875
185,749.875,745.203125
186,750.6875,740.91484375
187,750.75,744.53359375
188,751.5625,742.925
189,750.5625,745.3296875
190,751.0,745.80703125
191,751.3125,743.5859375
192,755.3125,745.51328125
193,756.4375,743.07109375
194,759.5625,745.63046875
195,757.6875,744.884375
196,760.125,748.94765625
197,760.375,751.87421875
198,760.75,751.97265625
199,759.1875,755.00390625
